,date,sum_bike,mean_tmp,sum_dates
119,2020-04-29,5010.0,10.333333333333334,24
120,2020-04-30,4386.0,9.916666666666666,24
121,2020-05-01,2491.0,9.041666666666666,24
122,2020-05-02,3449.0,8.583333333333334,24
123,2020-05-03,4078.0,10.416666666666666,24
124,2020-05-04,7933.0,13.291666666666666,24
125,2020-05-05,4889.0,8.916666666666666,24
126,2020-05-06,8670.0,10.041666666666666,24
127,2020-05-07,7801.0,13.125,24
128,2020-05-08,8924.0,16.958333333333332,24
129,2020-05-09,7599.0,18.25,24
130,2020-05-10,4770.0,17.166666666666668,24
131,2020-05-11,5637.0,10.5,24
132,2020-05-12,7628.0,6.0,24
133,2020-05-13,5574.0,8.666666666666666,24
134,2020-05-14,6424.0,10.458333333333334,24
135,2020-05-15,6914.0,8.416666666666666,24
136,2020-05-16,7240.0,9.833333333333334,24
137,2020-05-17,6127.0,13.458333333333334,24
138,2020-05-18,9860.0,14.791666666666666,24
139,2020-05-19,10380.0,15.416666666666666,24
140,2020-05-20,10249.0,15.25,24
141,2020-05-21,7390.0,16.25,24
142,2020-05-22,9983.0,17.833333333333332,24
143,2020-05-23,3739.0,13.25,24
144,2020-05-24,4869.0,11.75,24
145,2020-05-25,9286.0,13.333333333333334,24
146,2020-05-26,10591.0,12.958333333333334,24
147,2020-05-27,11144.0,13.458333333333334,24
148,2020-05-28,10148.0,12.875,24
149,2020-05-29,10458.0,12.333333333333334,24
150,2020-05-30,8676.0,12.166666666666666,24
151,2020-05-31,6786.0,12.375,24
152,2020-06-01,7154.0,15.083333333333334,24
153,2020-06-02,10999.0,16.375,24
154,2020-06-03,10701.0,17.416666666666668,24
155,2020-06-04,4962.0,13.0,24
156,2020-06-05,6879.0,12.875,24
157,2020-06-06,6881.0,14.583333333333334,24
158,2020-06-07,2364.0,10.375,24
159,2020-06-08,8879.0,11.791666666666666,24
160,2020-06-09,6994.0,12.0,24
161,2020-06-10,8091.0,13.083333333333334,24
162,2020-06-11,6662.0,14.625,24
163,2020-06-12,12336.0,17.416666666666668,24
164,2020-06-13,8976.0,16.666666666666668,24
165,2020-06-14,2908.0,12.583333333333334,24
166,2020-06-15,10051.0,13.958333333333334,24
167,2020-06-16,10208.0,15.0,24
168,2020-06-17,8989.0,13.208333333333334,24
169,2020-06-18,12170.0,15.625,24
170,2020-06-19,9098.0,13.958333333333334,24
171,2020-06-20,9797.0,15.583333333333334,24
172,2020-06-21,8203.0,16.666666666666668,24
173,2020-06-22,12304.0,17.083333333333332,24
174,2020-06-23,14384.0,18.5,24
175,2020-06-24,14435.0,18.833333333333332,24
176,2020-06-25,14588.0,19.291666666666668,24
177,2020-06-26,11160.0,20.916666666666668,24
178,2020-06-27,10052.0,21.541666666666668,24
179,2020-06-28,6558.0,19.875,24
180,2020-06-29,9555.0,16.833333333333332,24
181,2020-06-30,14437.0,18.5,24
182,2020-07-01,14594.0,21.791666666666668,24
183,2020-07-02,12372.0,19.291666666666668,24
184,2020-07-03,12701.0,17.416666666666668,24
185,2020-07-04,11137.0,18.416666666666668,24
186,2020-07-05,8294.0,19.833333333333332,24
187,2020-07-06,12081.0,16.208333333333332,24
188,2020-07-07,14791.0,15.25,24
189,2020-07-08,14699.0,18.25,24
190,2020-07-09,14957.0,20.083333333333332,24
191,2020-07-10,13271.0,20.291666666666668,24
192,2020-07-11,7702.0,15.875,24
193,2020-07-12,8579.0,15.625,24
194,2020-07-13,14131.0,16.291666666666668,24
195,2020-07-14,14778.0,17.5,24
196,2020-07-15,11532.0,15.916666666666666,24
197,2020-07-16,9676.0,14.833333333333334,24
198,2020-07-17,11839.0,16.125,24
199,2020-07-18,11663.0,16.541666666666668,24
200,2020-07-19,8814.0,17.916666666666668,24
201,2020-07-20,14759.0,20.0,24
202,2020-07-21,14436.0,19.583333333333332,24
203,2020-07-22,13331.0,18.5,24
204,2020-07-23,14602.0,20.833333333333332,24
205,2020-07-24,13128.0,17.208333333333332,24
206,2020-07-25,11580.0,18.458333333333332,24
207,2020-07-26,7654.0,18.833333333333332,24
208,2020-07-27,15050.0,20.791666666666668,24
209,2020-07-28,13537.0,23.041666666666668,24
210,2020-07-29,15623.0,19.5,24
211,2020-07-30,14228.0,20.375,24
212,2020-07-31,13588.0,24.166666666666668,24
213,2020-08-01,10125.0,24.75,24
214,2020-08-02,5263.0,18.458333333333332,24
215,2020-08-03,7266.0,14.5,24
216,2020-08-04,8278.0,13.833333333333334,24
217,2020-08-05,13608.0,15.166666666666666,24
218,2020-08-06,13247.0,17.166666666666668,24
219,2020-08-07,12811.0,19.375,24
220,2020-08-08,9884.0,21.791666666666668,24
221,2020-08-09,7541.0,22.708333333333332,24
222,2020-08-10,11393.0,22.416666666666668,24
223,2020-08-11,11805.0,23.416666666666668,24
224,2020-08-12,11520.0,23.666666666666668,24
225,2020-08-13,9896.0,20.666666666666668,24
226,2020-08-14,9088.0,19.458333333333332,24
227,2020-08-15,9829.0,20.541666666666668,24
228,2020-08-16,7538.0,22.0,24
229,2020-08-17,7821.0,17.416666666666668,24
230,2020-08-18,10459.0,18.041666666666668,24
231,2020-08-19,11460.0,19.625,24
232,2020-08-20,11398.0,24.208333333333332,24
233,2020-08-21,10812.0,24.916666666666668,24
234,2020-08-22,6982.0,21.333333333333332,24
235,2020-08-23,6924.0,18.291666666666668,24
236,2020-08-24,10248.0,16.333333333333332,24
237,2020-08-25,11138.0,17.708333333333332,24
238,2020-08-26,10816.0,18.541666666666668,24
239,2020-08-27,10853.0,17.0,24
240,2020-08-28,8079.0,16.583333333333332,24
241,2020-08-29,3874.0,12.958333333333334,24
242,2020-08-30,1463.0,11.916666666666666,24
243,2020-08-31,8626.0,13.625,24
244,2020-09-01,8435.0,13.125,24
245,2020-09-02,10481.0,13.958333333333334,24
246,2020-09-03,11230.0,14.875,24
247,2020-09-04,11390.0,18.625,24
248,2020-09-05,9240.0,19.375,24
249,2020-09-06,4278.0,14.083333333333334,24
250,2020-09-07,10130.0,13.375,24
251,2020-09-08,12424.0,14.791666666666666,24
252,2020-09-09,12025.0,17.541666666666668,24
253,2020-09-10,12159.0,16.666666666666668,24
254,2020-09-11,11806.0,16.708333333333332,24
255,2020-09-12,10206.0,18.583333333333332,24
256,2020-09-13,7480.0,19.125,24
257,2020-09-14,14585.0,19.708333333333332,24
258,2020-09-15,16452.0,21.458333333333332,24
259,2020-09-16,16163.0,20.5,24
260,2020-09-17,16327.0,18.333333333333332,24
261,2020-09-18,15116.0,16.25,24
262,2020-09-19,10741.0,15.666666666666666,24
263,2020-09-20,8222.0,17.625,24
264,2020-09-21,15542.0,16.833333333333332,24
265,2020-09-22,15461.0,17.541666666666668,24
266,2020-09-23,13819.0,16.083333333333332,24
267,2020-09-24,12418.0,15.541666666666666,24
268,2020-09-25,8987.0,8.833333333333334,24
269,2020-09-26,5223.0,4.5,24
270,2020-09-27,5559.0,7.791666666666667,24
271,2020-09-28,12779.0,7.958333333333333,24
272,2020-09-29,11832.0,8.458333333333334,24
273,2020-09-30,14500.0,12.208333333333334,24
274,2020-10-01,13437.0,12.708333333333334,24
275,2020-10-02,13301.0,12.916666666666666,24
276,2020-10-03,5893.0,8.458333333333334,24
277,2020-10-04,6880.0,9.333333333333334,24
278,2020-10-05,12283.0,10.25,24
279,2020-10-06,11627.0,10.583333333333334,24
280,2020-10-07,11947.0,8.708333333333334,24
281,2020-10-08,14192.0,9.625,24
282,2020-10-09,14170.0,12.25,24
283,2020-10-10,4536.0,9.083333333333334,24
284,2020-10-11,5575.0,6.5,24
285,2020-10-12,11199.0,4.333333333333333,24
286,2020-10-13,13416.0,5.25,24
287,2020-10-14,13510.0,4.833333333333333,24
288,2020-10-15,12302.0,6.375,24
289,2020-10-16,8727.0,7.208333333333333,24
290,2020-10-17,8208.0,6.5,24
291,2020-10-18,5502.0,6.791666666666667,24
292,2020-10-19,12687.0,7.541666666666667,24
293,2020-10-20,12914.0,8.375,24
294,2020-10-21,12999.0,11.041666666666666,24
295,2020-10-22,13175.0,10.666666666666666,24
296,2020-10-23,8045.0,11.583333333333334,24
297,2020-10-24,8137.0,10.916666666666666,24
298,2020-10-25,5407.0,10.208333333333334,24
299,2020-10-26,4447.0,7.083333333333333,24
300,2020-10-27,9977.0,7.625,24
301,2020-10-28,8774.0,6.75,24
302,2020-10-29,7706.0,9.375,24
303,2020-10-30,9976.0,11.041666666666666,24
304,2020-10-31,7508.0,10.0,24
305,2020-11-01,3562.0,9.541666666666666,24
306,2020-11-02,10603.0,13.375,24
307,2020-11-03,8687.0,10.291666666666666,24
308,2020-11-04,7741.0,6.791666666666667,24
309,2020-11-05,9840.0,6.5,24
310,2020-11-06,9341.0,5.916666666666667,24
311,2020-11-07,6111.0,8.75,24
312,2020-11-08,3222.0,7.458333333333333,24
313,2020-11-09,9490.0,8.333333333333334,24
314,2020-11-10,9515.0,7.791666666666667,24
315,2020-11-11,9508.0,7.75,24
316,2020-11-12,10189.0,6.958333333333333,24
317,2020-11-13,9793.0,8.041666666666666,24
318,2020-11-14,6345.0,8.541666666666666,24
319,2020-11-15,3673.0,7.958333333333333,24
320,2020-11-16,9098.0,7.75,24
321,2020-11-17,10165.0,5.958333333333333,24
322,2020-11-18,9423.0,7.0,24
323,2020-11-19,7869.0,6.75,24
324,2020-11-20,9064.0,2.7916666666666665,24
325,2020-11-21,6012.0,1.7083333333333333,24
326,2020-11-22,3087.0,1.875,24
327,2020-11-23,9090.0,2.3333333333333335,24
328,2020-11-24,9219.0,4.041666666666667,24
329,2020-11-25,8644.0,4.458333333333333,24
330,2020-11-26,9123.0,3.0,24
331,2020-11-27,9089.0,3.7916666666666665,24
332,2020-11-28,5248.0,2.625,24
333,2020-11-29,2554.0,-0.041666666666666664,24
334,2020-11-30,8671.0,-1.0416666666666667,24
335,2020-12-01,6081.0,-0.375,24
336,2020-12-02,8235.0,0.125,24
337,2020-12-03,8651.0,-1.4583333333333333,24
338,2020-12-04,8458.0,1.3333333333333333,24
